MLT	Kp	Intercept	L	        log10(E)	L^2	        log10(E)^2	L^3	        log10(E)^3	log10(E)*L	log10(E)*L^2	log10(E)^2*L	Adjusted R2
7	2	1.205435e+00	4.161637e-01	-6.240078e-01	-2.239074e-01	5.056336e-01	2.247393e-02	4.051097e-01	2.968045e-01	3.199971e-02	2.171849e-01	0.82391
7	3	1.735397e+00	2.397207e-02	-2.982400e-01	-1.309153e-01	3.509832e-02	1.574091e-02	2.127733e-01	2.436606e-01	2.895244e-02	1.849069e-01	0.91497
7	4	1.747765e+00	-1.078381e-01	-6.498805e-02	-8.557804e-02	-6.364141e-02	1.200978e-02	1.234992e-01	3.194689e-01	1.761723e-02	1.681927e-01	0.94378
7	5	5.800442e-01	2.740269e-01	-1.060418e-01	-3.751396e-02	1.318171e+00	1.332550e-02	5.758035e-01	1.244108e+00	3.008228e-02	4.363843e-01	0.95472
7	6	3.240336e+00	-1.725721e+00	5.217625e-02	3.879902e-01	1.535061e+00	-1.431980e-02	5.734181e-01	1.338752e+00	2.441768e-02	4.362915e-01	0.9364
7	7	-3.419454e-01	3.364636e-01	1.162533e+00	2.115812e-02	3.261958e+00	5.064395e-03	5.677576e-01	1.717444e+00	-7.004800e-02	1.465979e-01	0.91279
8	1	-1.308247e+00	1.888381e+00	9.812949e-01	-4.930137e-01	2.128228e+00	3.763054e-02	7.285720e-01	1.276625e-01	3.701688e-02	1.744106e-01	0.78102
8	2	6.496435e-01	7.090310e-01	-9.210358e-01	-2.847685e-01	6.275309e-01	2.650405e-02	4.616605e-01	4.027105e-01	2.954339e-02	2.436590e-01	0.81642
8	3	1.224925e+00	2.956671e-01	-5.856631e-01	-1.880907e-01	1.435859e-01	1.951742e-02	2.621966e-01	3.290408e-01	2.645165e-02	2.028016e-01	0.89064
8	4	1.362127e+00	9.646588e-02	-2.953666e-01	-1.299670e-01	2.750683e-02	1.496309e-02	1.621236e-01	3.674189e-01	1.694558e-02	1.768604e-01	0.92377
8	5	4.360637e-02	5.273507e-01	-5.878643e-01	-8.277919e-02	1.336013e+00	1.756848e-02	6.253131e-01	1.358198e+00	3.779334e-02	4.803578e-01	0.94084
8	6	2.251631e+00	-1.218175e+00	-5.475816e-01	3.014285e-01	1.634329e+00	-7.652272e-03	6.444620e-01	1.540731e+00	2.635283e-02	4.850513e-01	0.92387
8	7	-6.076540e-01	3.305252e-01	1.344023e-01	4.882027e-02	3.284135e+00	3.630749e-03	6.318609e-01	2.061262e+00	-8.015682e-02	2.045887e-01	0.91829
9	1	-5.066641e-01	1.329285e+00	9.461658e-01	-3.763959e-01	2.240101e+00	2.978094e-02	7.368882e-01	1.972342e-01	3.197202e-02	1.768036e-01	0.81157
9	2	9.160371e-02	1.003259e+00	-1.122999e+00	-3.433058e-01	8.014770e-01	3.033769e-02	5.132520e-01	4.999701e-01	2.610510e-02	2.586349e-01	0.82344
9	3	6.441270e-01	6.074673e-01	-8.280261e-01	-2.502328e-01	3.001515e-01	2.354826e-02	3.102515e-01	4.242577e-01	2.217524e-02	2.137150e-01	0.86982
9	4	9.621762e-01	3.067436e-01	-4.664940e-01	-1.727513e-01	1.712550e-01	1.775645e-02	2.018135e-01	4.221124e-01	1.508525e-02	1.801912e-01	0.90089
9	5	-5.807546e-01	8.358583e-01	-9.227595e-01	-1.324629e-01	1.486863e+00	2.185117e-02	6.931474e-01	1.487158e+00	4.400470e-02	5.199000e-01	0.92804
9	6	9.998263e-01	-5.206567e-01	-9.205089e-01	1.792725e-01	1.868123e+00	1.036909e-03	7.270077e-01	1.728786e+00	2.663989e-02	5.212735e-01	0.91573
9	7	-1.395993e+00	6.936340e-01	-5.686723e-01	6.332513e-04	3.424236e+00	7.041325e-03	7.011817e-01	2.342476e+00	-8.797079e-02	2.473096e-01	0.92407
10	1	6.079346e-01	5.764501e-01	8.115558e-01	-2.184695e-01	2.348472e+00	1.915197e-02	7.311287e-01	3.106179e-01	2.082615e-02	1.686596e-01	0.838
10	2	-7.268649e-01	1.466423e+00	-1.092733e+00	-4.325192e-01	1.038170e+00	3.593924e-02	5.489411e-01	5.537068e-01	2.192478e-02	2.517090e-01	0.83772
10	3	2.556828e-01	7.956948e-01	-1.003445e+00	-2.837742e-01	5.126386e-01	2.553391e-02	3.518927e-01	5.288852e-01	1.452997e-02	2.116595e-01	0.86064
10	4	7.065774e-01	4.202723e-01	-6.093885e-01	-1.918654e-01	3.621433e-01	1.879915e-02	2.357079e-01	5.007935e-01	8.970089e-03	1.736803e-01	0.88263
10	5	-9.592237e-01	1.000408e+00	-1.082641e+00	-1.462954e-01	1.769092e+00	2.324966e-02	7.676456e-01	1.630683e+00	4.522151e-02	5.448054e-01	0.92157
10	6	-5.821246e-02	8.253724e-02	-1.046605e+00	8.037739e-02	2.225443e+00	7.622167e-03	8.093918e-01	1.903019e+00	2.274182e-02	5.378206e-01	0.91615
10	7	-2.338184e+00	1.223269e+00	-7.855223e-01	-8.592414e-02	3.651338e+00	1.259107e-02	7.501100e-01	2.502162e+00	-9.368997e-02	2.579936e-01	0.93182
11	1	1.584285e+00	-9.233146e-02	4.913702e-01	-7.566464e-02	2.481888e+00	9.490070e-03	7.329837e-01	4.912006e-01	3.914822e-03	1.591060e-01	0.85812
11	2	-1.233141e+00	1.724787e+00	-9.581509e-01	-4.738511e-01	1.320496e+00	3.796105e-02	5.644950e-01	6.102217e-01	1.219256e-02	2.222982e-01	0.85947
11	3	1.827068e-01	7.765828e-01	-1.183786e+00	-2.699423e-01	7.669048e-01	2.408920e-02	3.812356e-01	6.690887e-01	2.258100e-04	1.942093e-01	0.86762
11	4	6.871972e-01	3.742267e-01	-7.970033e-01	-1.730136e-01	5.907723e-01	1.701475e-02	2.586978e-01	6.313598e-01	-4.919297e-03	1.544219e-01	0.87667
11	5	-9.381048e-01	9.140218e-01	-1.186769e+00	-1.013428e-01	2.127841e+00	1.981853e-02	8.292878e-01	1.814266e+00	3.555110e-02	5.461664e-01	0.92408
11	6	-4.972398e-01	3.141483e-01	-1.051545e+00	5.992790e-02	2.625577e+00	8.281900e-03	8.692018e-01	2.075338e+00	1.109089e-02	5.285473e-01	0.92303
11	7	-2.912724e+00	1.566532e+00	-7.009429e-01	-1.358704e-01	3.905999e+00	1.504579e-02	7.656498e-01	2.588276e+00	-1.026651e-01	2.357367e-01	0.94093
12	1	3.795952e+00	-1.609479e+00	-3.957772e-01	2.542400e-01	2.626393e+00	-1.324950e-02	7.607905e-01	8.914563e-01	-3.213962e-02	1.607167e-01	0.81496
12	2	9.414399e-01	7.276113e-03	-2.638211e+00	-4.937976e-02	2.464290e+00	5.299087e-03	5.154030e-01	1.694110e+00	-1.217717e-01	1.060381e-02	0.92512
12	3	-1.826336e+00	2.001220e+00	-1.062499e+00	-5.044658e-01	1.421460e+00	3.846524e-02	3.475318e-01	8.563474e-01	-3.515948e-02	7.200227e-02	0.93612
12	4	1.091590e-01	6.744938e-01	-1.006791e+00	-2.180554e-01	1.035742e+00	1.896149e-02	2.513562e-01	8.626383e-01	-3.680987e-02	8.137101e-02	0.90779
12	5	-2.650530e-01	3.934711e-01	-1.363908e+00	4.468812e-02	2.491388e+00	8.265016e-03	8.734229e-01	2.064115e+00	1.198487e-02	5.295803e-01	0.92943
12	6	1.403355e+00	-9.923685e-01	-1.340616e+00	3.576970e-01	2.578394e+00	-1.248317e-02	9.303741e-01	2.201778e+00	1.047900e-02	5.851626e-01	0.89932
12	7	2.509748e+00	-1.973148e+00	-1.179463e+00	5.883023e-01	2.987827e+00	-2.935602e-02	1.016046e+00	2.393637e+00	-1.646417e-02	5.747707e-01	0.92602
13	1	4.746942e+00	-2.558156e+00	-1.186727e+00	4.880320e-01	2.900345e+00	-2.996777e-02	6.265849e-01	1.273604e+00	-7.816415e-02	5.587602e-02	0.88353
13	2	4.831451e+00	-2.725641e+00	-2.085771e+00	5.398800e-01	2.502417e+00	-3.465279e-02	3.921621e-01	1.614453e+00	-1.319834e-01	-6.435277e-02	0.95219
13	3	3.992977e+00	-2.157449e+00	-1.657250e+00	4.149461e-01	1.869796e+00	-2.561423e-02	2.871417e-01	1.343384e+00	-1.034915e-01	-3.756972e-02	0.95133
13	4	2.400486e+00	-1.090502e+00	-1.266064e+00	1.786835e-01	1.361613e+00	-8.450192e-03	2.460354e-01	1.080190e+00	-6.583955e-02	2.563368e-02	0.92219
13	5	-9.144487e-01	8.800053e-01	-1.485896e+00	-2.665061e-02	2.909180e+00	1.033890e-02	9.077201e-01	2.325317e+00	-2.244458e-02	4.854397e-01	0.94403
13	6	-3.069663e+00	2.301743e+00	-2.144761e+00	-3.388892e-01	2.369229e+00	3.262324e-02	9.135671e-01	2.383983e+00	-4.136037e-03	5.984553e-01	0.9073
13	7	-1.111552e+01	7.990864e+00	-3.070002e+00	-1.549400e+00	1.867375e+00	1.118725e-01	9.435024e-01	2.560170e+00	-1.446240e-02	6.814598e-01	0.88757
14	1	1.242540e+00	-2.369845e-01	-1.419802e+00	8.260015e-03	2.972485e+00	1.156809e-03	5.212952e-01	1.408200e+00	-1.014738e-01	-2.296493e-02	0.89436
14	2	1.368811e+00	-4.145601e-01	-2.280856e+00	5.740560e-02	2.450007e+00	-2.985853e-03	3.109832e-01	1.682819e+00	-1.424004e-01	-1.039245e-01	0.96163
14	3	1.228625e+00	-3.074402e-01	-1.908024e+00	3.084710e-02	1.861609e+00	-7.324499e-04	2.322341e-01	1.454456e+00	-1.170960e-01	-6.583994e-02	0.95624
14	4	9.318505e-01	-8.583122e-02	-1.478347e+00	-2.767564e-02	1.499320e+00	4.344851e-03	2.301372e-01	1.230955e+00	-8.575766e-02	-3.931169e-03	0.94057
14	5	1.432796e+00	-7.039165e-01	-1.539426e+00	3.447957e-01	3.325479e+00	-1.743970e-02	9.270213e-01	2.570657e+00	-6.012586e-02	4.282312e-01	0.94925
14	6	8.747952e+00	-5.660286e+00	-1.996150e+00	1.383810e+00	2.770045e+00	-8.538469e-02	9.037252e-01	2.494688e+00	-4.085627e-02	5.001229e-01	0.86508
14	7	2.967365e+00	-1.483125e+00	-2.468505e+00	4.985097e-01	2.507725e+00	-2.839179e-02	9.571531e-01	2.559916e+00	-4.860509e-02	5.434484e-01	0.85267
15	1	1.994942e+00	-6.555317e-01	-9.786397e-01	9.222377e-02	2.990598e+00	-4.051119e-03	5.103009e-01	1.267481e+00	-9.162911e-02	-3.369420e-02	0.89008
15	2	1.963584e+00	-7.859760e-01	-2.306874e+00	1.416005e-01	2.554944e+00	-8.779408e-03	3.022099e-01	1.737735e+00	-1.513754e-01	-1.268836e-01	0.9563
15	3	1.458040e+00	-4.180364e-01	-1.778768e+00	5.630375e-02	1.907537e+00	-2.330213e-03	2.224492e-01	1.426373e+00	-1.165456e-01	-7.909000e-02	0.95286
15	4	2.745900e+00	-1.327290e+00	-1.972995e+00	2.563148e-01	1.682334e+00	-1.611474e-02	2.078639e-01	1.520069e+00	-1.218943e-01	-4.948951e-02	0.93794
15	5	1.826867e+00	-9.040947e-01	-1.520564e+00	4.006556e-01	3.544015e+00	-2.263840e-02	9.401753e-01	2.685085e+00	-7.891802e-02	4.005182e-01	0.94983
15	6	9.225378e+00	-5.938465e+00	-2.074143e+00	1.459699e+00	3.004200e+00	-9.190359e-02	9.271197e-01	2.649451e+00	-6.093322e-02	4.793848e-01	0.86549
15	7	3.091311e+00	-1.498489e+00	-2.306911e+00	5.168763e-01	2.754097e+00	-3.127343e-02	9.674050e-01	2.639684e+00	-6.627824e-02	5.084716e-01	0.85807
16	1	3.455794e+00	-1.486545e+00	-4.241646e-01	2.553252e-01	2.897685e+00	-1.393926e-02	4.953749e-01	1.043180e+00	-7.239104e-02	-3.229877e-02	0.88572
16	2	2.605198e+00	-1.151861e+00	-2.244961e+00	2.195486e-01	2.583749e+00	-1.359540e-02	2.940331e-01	1.720754e+00	-1.512312e-01	-1.393042e-01	0.94717
16	3	1.819715e+00	-5.552250e-01	-1.492429e+00	7.627047e-02	1.815396e+00	-2.575816e-03	2.228693e-01	1.269107e+00	-9.778961e-02	-6.373164e-02	0.94071
16	4	1.261123e+00	-1.728350e-01	-1.180981e+00	-1.378674e-02	1.472255e+00	4.495729e-03	2.288470e-01	1.093459e+00	-6.965027e-02	1.820913e-03	0.92354
16	5	1.662075e+00	-5.909674e-01	-1.032808e+00	3.036510e-01	3.420686e+00	-1.432329e-02	9.422668e-01	2.419683e+00	-5.111377e-02	4.185730e-01	0.93755
16	6	9.062144e+00	-5.641461e+00	-1.647969e+00	1.368319e+00	2.893126e+00	-8.392754e-02	9.367054e-01	2.409603e+00	-3.379991e-02	5.021036e-01	0.83891
16	7	2.972117e+00	-1.238725e+00	-1.911060e+00	4.349748e-01	2.623632e+00	-2.402190e-02	9.727758e-01	2.407711e+00	-3.981335e-02	5.321525e-01	0.8466
17	1	6.065370e+00	-3.036624e+00	-1.204084e-02	5.641127e-01	2.756971e+00	-3.286474e-02	4.653054e-01	8.509755e-01	-5.683971e-02	-3.862627e-02	0.87655
17	2	3.923084e+00	-1.907470e+00	-2.128049e+00	3.679667e-01	2.450187e+00	-2.189545e-02	2.936385e-01	1.601658e+00	-1.351094e-01	-1.236702e-01	0.92472
17	3	1.621678e+00	-2.015437e-01	-6.733390e-01	-3.357035e-02	1.440304e+00	8.215388e-03	2.342461e-01	7.653045e-01	-3.439944e-02	5.107264e-03	0.91385
17	4	1.111911e+00	1.243552e-01	-5.019693e-01	-1.052095e-01	1.134048e+00	1.355940e-02	2.308674e-01	6.698652e-01	-1.594878e-02	5.972407e-02	0.88394
17	5	1.171040e+00	2.179109e-02	-3.418401e-01	1.133921e-01	2.971660e+00	2.502135e-03	9.291163e-01	1.896026e+00	9.636920e-03	4.748118e-01	0.90471
17	6	8.870233e+00	-5.244293e+00	-1.112737e+00	1.223429e+00	2.451975e+00	-6.975656e-02	9.381103e-01	1.935719e+00	2.655594e-02	5.699057e-01	0.78699
17	7	3.603072e+00	-1.434442e+00	-1.722606e+00	4.197760e-01	2.101419e+00	-1.864621e-02	9.686834e-01	2.030916e+00	1.464855e-02	6.122669e-01	0.83498
18	1	1.082397e+01	-5.971812e+00	-4.770886e-01	1.146059e+00	2.577005e+00	-6.751868e-02	4.057286e-01	8.848197e-01	-6.116616e-02	-7.655496e-02	0.83153
18	2	6.135939e+00	-3.064357e+00	-1.681550e+00	5.476164e-01	1.634596e+00	-2.726348e-02	2.771841e-01	1.006313e+00	-5.079006e-02	-1.432417e-02	0.83838
18	3	1.724760e+00	-8.414072e-03	-3.017019e-01	-1.301847e-01	7.400475e-01	2.104870e-02	2.109209e-01	2.444144e-01	4.343080e-02	1.012454e-01	0.85289
18	4	2.442864e+00	-5.483793e-01	-5.906341e-01	-6.476063e-03	5.333321e-01	1.231103e-02	2.145601e-01	3.817825e-01	3.833219e-02	1.472210e-01	0.83846
18	5	1.344505e+00	9.699000e-02	-6.337698e-01	5.032382e-02	2.277124e+00	1.129115e-02	9.031503e-01	1.626972e+00	5.876497e-02	5.640278e-01	0.85781
18	6	9.111154e+00	-5.207996e+00	-1.319588e+00	1.167587e+00	1.705285e+00	-6.148092e-02	8.926992e-01	1.622487e+00	7.799110e-02	6.537055e-01	0.76933
18	7	3.367097e+00	-1.055645e+00	-1.444817e+00	2.936776e-01	1.358158e+00	-6.841480e-03	8.764732e-01	1.570444e+00	6.559029e-02	6.528755e-01	0.85086
19	1	1.045173e+01	-4.941345e+00	2.088544e+00	7.367673e-01	1.576796e+00	-2.060349e-02	3.211369e-01	-6.732945e-01	1.313307e-01	3.047173e-02	0.62546
19	2	3.703805e+00	-5.375542e-01	8.605968e-01	-2.386394e-01	2.000571e-01	5.240058e-02	2.518747e-01	-8.312531e-01	2.203020e-01	2.530480e-01	0.76811
19	3	3.272628e+00	-4.558256e-01	-2.863843e-01	-2.107743e-01	-2.212628e-01	4.758636e-02	2.495467e-01	-3.954864e-01	1.979005e-01	3.445951e-01	0.83723
19	4	4.151799e+00	-1.163107e+00	-7.815812e-01	-3.602281e-02	-3.369410e-01	3.421682e-02	2.939125e-01	-1.301308e-01	1.840421e-01	4.095479e-01	0.84295
19	5	2.430916e+00	-5.853717e-01	-1.651001e+00	1.615683e-01	1.360993e+00	7.354574e-03	8.027559e-01	1.550617e+00	8.437972e-02	6.310538e-01	0.8633
19	6	9.589982e+00	-5.442344e+00	-1.902050e+00	1.178300e+00	7.118181e-01	-5.898198e-02	7.425192e-01	1.372019e+00	1.104244e-01	6.923491e-01	0.81967
19	7	3.876753e+00	-1.278652e+00	-1.571642e+00	3.014910e-01	3.879600e-01	-5.220906e-03	6.825008e-01	1.184419e+00	9.635829e-02	6.463116e-01	0.89373
20	1	8.818423e+00	-3.885616e+00	1.977768e+00	5.171642e-01	3.360926e-01	-6.969479e-05	3.518455e-01	-1.178708e+00	2.501245e-01	2.894164e-01	0.40912
20	2	4.558966e+00	-1.402672e+00	-9.888905e-01	3.233388e-02	-4.743974e-01	3.207056e-02	1.957514e-01	-3.101404e-01	2.026337e-01	3.518889e-01	0.78776
20	3	5.278691e+00	-1.976263e+00	-2.136653e+00	1.696426e-01	-8.774690e-01	2.264980e-02	2.230293e-01	1.211223e-01	1.908473e-01	4.719043e-01	0.87646
20	4	7.510426e+00	-3.536111e+00	-2.728126e+00	5.091674e-01	-9.617025e-01	-2.305694e-05	2.979294e-01	4.199695e-01	1.829638e-01	5.617737e-01	0.8876
20	5	4.348244e+00	-1.800377e+00	-2.704540e+00	3.893456e-01	3.900327e-01	-2.537683e-03	6.766795e-01	1.545482e+00	1.164300e-01	7.199897e-01	0.91058
20	6	1.124045e+01	-6.484624e+00	-2.881991e+00	1.373009e+00	-2.577640e-01	-6.712893e-02	6.072741e-01	1.352019e+00	1.407729e-01	7.735385e-01	0.8799
20	7	4.717043e+00	-1.737761e+00	-1.978561e+00	3.722787e-01	-4.753988e-01	-6.761770e-03	5.151032e-01	1.002508e+00	1.231074e-01	6.697817e-01	0.92448
21	1	4.640154e+00	-2.058466e+00	-2.997508e+00	3.229845e-01	-3.267520e-01	7.138257e-03	5.035649e-01	4.081604e-01	1.794630e-01	5.391301e-01	0.67759
21	2	2.121799e+00	-2.683458e-01	-3.333377e+00	-5.632149e-02	-8.802042e-01	2.931274e-02	1.548270e-01	6.114660e-01	1.282823e-01	4.094238e-01	0.86667
21	3	6.281104e+00	-3.060090e+00	-3.968978e+00	5.414357e-01	-1.146769e+00	-1.021923e-02	1.901006e-01	9.614629e-01	1.213459e-01	5.239261e-01	0.92484
